type,wall_time,time_s,addr,ratio,label
DATA,2026-01-27T16:31:04,22.209,0x77,0.093255,background
DATA,2026-01-27T16:31:04,22.434,0x76,0.077111,background
DATA,2026-01-27T16:31:04,22.434,0x77,0.090054,background
DATA,2026-01-27T16:31:04,22.614,0x76,0.076277,background
DATA,2026-01-27T16:31:04,22.614,0x77,0.092373,background
DATA,2026-01-27T16:31:04,22.840,0x76,0.083617,background
DATA,2026-01-27T16:31:04,22.840,0x77,0.095549,background
DATA,2026-01-27T16:31:04,23.021,0x76,0.085543,background
DATA,2026-01-27T16:31:04,23.021,0x77,0.097589,background
DATA,2026-01-27T16:31:05,23.201,0x76,0.085478,background
DATA,2026-01-27T16:31:05,23.201,0x77,0.097475,background
DATA,2026-01-27T16:31:05,23.426,0x76,0.083396,background
DATA,2026-01-27T16:31:05,23.426,0x77,0.094256,background
DATA,2026-01-27T16:31:05,23.607,0x76,0.076910,background
DATA,2026-01-27T16:31:05,23.607,0x77,0.094644,background
DATA,2026-01-27T16:31:05,23.832,0x76,0.073827,background
DATA,2026-01-27T16:31:05,23.832,0x77,0.091684,background
DATA,2026-01-27T16:31:05,24.011,0x76,0.076218,background
DATA,2026-01-27T16:31:05,24.011,0x77,0.093502,background
DATA,2026-01-27T16:31:06,24.235,0x76,0.078151,background
DATA,2026-01-27T16:31:06,24.235,0x77,0.096711,background
DATA,2026-01-27T16:31:06,24.414,0x76,0.084795,background
DATA,2026-01-27T16:31:06,24.414,0x77,0.099222,background
DATA,2026-01-27T16:31:06,24.637,0x76,0.086002,background
DATA,2026-01-27T16:31:06,24.637,0x77,0.101255,background
DATA,2026-01-27T16:31:06,24.816,0x76,0.084859,background
DATA,2026-01-27T16:31:06,24.816,0x77,0.100869,background
DATA,2026-01-27T16:31:06,25.040,0x76,0.085546,background
DATA,2026-01-27T16:31:06,25.040,0x77,0.100441,background
DATA,2026-01-27T16:31:07,25.221,0x76,0.084489,background
DATA,2026-01-27T16:31:07,25.221,0x77,0.098123,background
DATA,2026-01-27T16:31:07,25.401,0x76,0.084572,background
DATA,2026-01-27T16:31:07,25.401,0x77,0.098190,background
DATA,2026-01-27T16:31:07,25.626,0x76,0.078825,background
DATA,2026-01-27T16:31:07,25.626,0x77,0.094081,background
DATA,2026-01-27T16:31:07,25.805,0x76,0.076352,background
DATA,2026-01-27T16:31:07,25.805,0x77,0.093210,background
DATA,2026-01-27T16:31:07,26.030,0x76,0.070268,background
DATA,2026-01-27T16:31:07,26.030,0x77,0.089943,background
DATA,2026-01-27T16:31:08,26.209,0x76,0.075594,background
DATA,2026-01-27T16:31:08,26.209,0x77,0.092236,background
DATA,2026-01-27T16:31:08,26.433,0x76,0.070298,background
DATA,2026-01-27T16:31:08,26.433,0x77,0.089914,background
DATA,2026-01-27T16:31:08,26.612,0x76,0.070276,background
DATA,2026-01-27T16:31:08,26.612,0x77,0.091503,background
DATA,2026-01-27T16:31:08,26.836,0x76,0.076575,background
DATA,2026-01-27T16:31:08,26.836,0x77,0.095328,background
DATA,2026-01-27T16:31:08,27.015,0x76,0.083767,background
DATA,2026-01-27T16:31:08,27.015,0x77,0.097537,background
DATA,2026-01-27T16:31:09,27.238,0x76,0.085246,background
DATA,2026-01-27T16:31:09,27.238,0x77,0.099580,background
DATA,2026-01-27T16:31:09,27.417,0x76,0.078351,background
DATA,2026-01-27T16:31:09,27.417,0x77,0.099344,background
DATA,2026-01-27T16:31:09,27.641,0x76,0.085782,background
DATA,2026-01-27T16:31:09,27.641,0x77,0.099410,background
DATA,2026-01-27T16:31:09,27.820,0x76,0.084646,background
DATA,2026-01-27T16:31:09,27.820,0x77,0.099101,background
DATA,2026-01-27T16:31:09,28.000,0x76,0.084761,background
DATA,2026-01-27T16:31:09,28.000,0x77,0.099040,background
DATA,2026-01-27T16:31:10,28.223,0x76,0.083071,background
DATA,2026-01-27T16:31:10,28.223,0x77,0.094815,background
DATA,2026-01-27T16:31:10,28.403,0x76,0.082956,background
DATA,2026-01-27T16:31:10,28.403,0x77,0.093888,background
DATA,2026-01-27T16:31:10,28.628,0x76,0.077707,background
DATA,2026-01-27T16:31:10,28.628,0x77,0.087979,background
DATA,2026-01-27T16:31:10,28.808,0x76,0.081845,background
DATA,2026-01-27T16:31:10,28.808,0x77,0.086898,background
DATA,2026-01-27T16:31:10,29.033,0x76,0.076933,background
DATA,2026-01-27T16:31:10,29.033,0x77,0.085571,background
DATA,2026-01-27T16:31:11,29.213,0x76,0.081466,background
DATA,2026-01-27T16:31:11,29.213,0x77,0.087205,background
DATA,2026-01-27T16:31:11,29.438,0x76,0.084507,background
DATA,2026-01-27T16:31:11,29.438,0x77,0.089858,background
DATA,2026-01-27T16:31:11,29.618,0x76,0.086662,background
DATA,2026-01-27T16:31:11,29.618,0x77,0.093633,background
DATA,2026-01-27T16:31:11,29.843,0x76,0.087814,background
DATA,2026-01-27T16:31:11,29.843,0x77,0.096264,background
DATA,2026-01-27T16:31:11,30.023,0x76,0.086852,background
DATA,2026-01-27T16:31:11,30.023,0x77,0.095600,background
DATA,2026-01-27T16:31:12,30.204,0x76,0.087180,background
DATA,2026-01-27T16:31:12,30.204,0x77,0.095558,background
DATA,2026-01-27T16:31:12,30.429,0x76,0.085084,background
DATA,2026-01-27T16:31:12,30.429,0x77,0.088809,background
DATA,2026-01-27T16:31:12,30.610,0x76,0.084370,background
DATA,2026-01-27T16:31:12,30.610,0x77,0.091085,background
DATA,2026-01-27T16:31:12,30.835,0x76,0.085593,background
DATA,2026-01-27T16:31:12,30.835,0x77,0.091315,background
DATA,2026-01-27T16:31:12,31.016,0x76,0.086589,background
DATA,2026-01-27T16:31:12,31.016,0x77,0.095544,background
DATA,2026-01-27T16:31:13,31.200,0x76,0.086733,background
DATA,2026-01-27T16:31:13,31.200,0x77,0.095377,background
DATA,2026-01-27T16:31:13,31.424,0x76,0.084825,background
DATA,2026-01-27T16:31:13,31.424,0x77,0.088906,background
DATA,2026-01-27T16:31:13,31.604,0x76,0.083574,background
DATA,2026-01-27T16:31:13,31.604,0x77,0.090773,background
DATA,2026-01-27T16:31:13,31.830,0x76,0.081870,background
DATA,2026-01-27T16:31:13,31.830,0x77,0.083429,background
DATA,2026-01-27T16:31:13,32.010,0x76,0.082720,background
DATA,2026-01-27T16:31:13,32.010,0x77,0.086365,background
DATA,2026-01-27T16:31:14,32.236,0x76,0.085049,background
DATA,2026-01-27T16:31:14,32.236,0x77,0.089170,background
DATA,2026-01-27T16:31:14,32.416,0x76,0.086662,background
DATA,2026-01-27T16:31:14,32.416,0x77,0.093307,background
DATA,2026-01-27T16:31:14,32.642,0x76,0.087911,background
DATA,2026-01-27T16:31:14,32.642,0x77,0.095597,background
DATA,2026-01-27T16:31:14,32.822,0x76,0.086290,background
DATA,2026-01-27T16:31:14,32.822,0x77,0.095163,background
DATA,2026-01-27T16:31:14,33.001,0x76,0.086315,background
DATA,2026-01-27T16:31:14,33.001,0x77,0.095007,background
DATA,2026-01-27T16:31:15,33.225,0x76,0.084184,background
DATA,2026-01-27T16:31:15,33.225,0x77,0.088598,background
DATA,2026-01-27T16:31:15,33.406,0x76,0.083401,background
DATA,2026-01-27T16:31:15,33.406,0x77,0.087735,background
DATA,2026-01-27T16:31:15,33.631,0x76,0.078049,background
